region;country;comment
Salamanca;Spain;
Salem;England;
Salem MA;USA;
Salem MA;USA;
Salem NC;USA;
Salem NJ;USA;
Salem NY;USA;
Salisbury;England;
Salisbury MA;USA;
Salisbury MA;USA;
Salisbury NC;USA;
Salmi;Finland;
Salo;Finland;
Sandhurst;England;
Sandstone MI;USA;
Sandwich;England;
Sanquhar;Scotland;
Sarvilahti;Finland;
Satakunta;Finland;
Sauvo;Finland;
Savannah GA;USA;
Savanna-la-Mar Jamaica;Jamaica;
Savonlinna;Finland;
Saxmundham;England;
Scarborough;England;
Schenectady N.Y;USA;
Schenectady N\.Y;USA;
Schenectady NY;USA;
Schleswig;Germany;
Schwerin;Germany;
Scipio NY;USA;
Seattle WA;USA;
Sedbergh;England;
Seinäjoki;Finland;
Selby;England;
Selkirk;Scotland;
Settle;England;
Sevenoaks;England;
Seville;Spain;
Sharon CT;USA;
Sheerness;England;
Sheffield;England;
Shelburne;Canada;
Shelburne Nova Scotia;Canada;
Shepherdstown VA;USA;
Shepherdstown VA;USA;
Shepherdstown WV;USA;
Shepton Mallet;England;
Sherborne;England;
Shiffnal;England;
Shippensburg PA;USA;
Shrewsbury;England;
Siegen;Germany;
Siena;Italy;
Sienna;Italy;
Simola;Finland;
Simsbury CT;USA;
Sipoo;Finland;
Skara;Sweden;
Sligo;Ireland;
Slough;England;
Smithville MN;USA;
Sorau;Poland;
Sortavala;Russia;
Southampton;England;
South Molton;England;
South Shields;England;
Spalding;England;
Spanish Town ;Jamaica;
Spanish Town;Jamaica;
Spanish Town Jamaica;Jamaica;
Springfield MA;USA;
Springfield MA;USA;
Springfield NJ;USA;
Stabroek;Guyana;
Stafford;England;
St Albans;England;
St. Albans;England;
St\. Albans;England;
Stamford;England;
St Andrews;Scotland;
St. Andrews;Scotland;
St\. Andrews;Scotland;
Stanford;England;
St Augustine Fl;USA;
St. Augustine Fl;USA;
St\. Augustine Fl;USA;
St Augustine FL;USA;
Staunton VA;USA;
Staunton VA;USA;
St Austell;England;
St Croix;USA;
Sterling;Scotland;
St. Eustatius;Netherlands;
St Eustatius;St Eustatius;
St\. Eustatius;St\. Eustatius;
St George;Grenada;
St Georges Grena;;
St George's grenada;Grenada;
St. George's Grenada;Grenada;
St Germans;England;
St Helier;England;
Stirling;Scotland;
St Ives;England;
St John New Brunswick;Canada;
St Johns Antiqua;Antiqua;
St Louis Kaunti MI;USA;
St Marys MD;USA;
St. Mary's MD;USA;
St Neots;England;
Stockbridge MA;USA;
Stockbridge MA;USA;
Stockholm;Sweden;
Stockport;England;
Stockton;England;
Stoke Newington;England;
Stoke-on-Trent;England;
Stokesley;England;
St Omer;France;
St. Omer;France;
St\. Omer;France;
Stonington CT;USA;
Stonor;England;
Stourbridge ;England;
Stourbridge;England;
Stow;England;
Stowmarket;England;
St Peter Port;Guernsey;
St Petersburg;Russia;
St Pierre;Martinique;
St. Pierre Martinique;Martinique;
St\. Pierre Martinique;Martinique;
Strabane;Northern Ireland;
Strahane;England;
Stralsund;Germany;
Strängnäs;Sweden;
Strasbourg;France;
Stratford-upon-Avon;England;
Strood;England;
Stroud;England;
Stuttgart;Germany;
Sudbury;England;
Sudbury ON;USA;
Suffield CT;USA;
Sunbury PA;USA;
Sunderland;England;
Sundsvall;Sweden;
Suomussalmi;Finland;
Suonenjoki;Finland;
Superior WI;USA;
Swaffham;England;
Sydney;Australia;
Szczecin;Poland;
Taipalsaari;Finland;
Tallinn;Estonia;
Tammela;Finland;
Tammisaari;Finland;
Tampere;Finland;
Tamworth;England;
Tartto;Estonia;
Tartu;Estonia;
Taunton;England;
Tavistock;England;
Terijoki;Finland;
Terni;Finland;
Tervonsalmi;Finland;
Tetbury;England;
Tewkesbury;England;
Thame;England;
Tharangambadi;India;
Tharangampadi;India;
The Hague;Netherlands;
Thetford;England;
Thirsk;England;
Thurles;Ireland;
Tikkurila;Finland;
Tiverton;England;
Tivoli;Italy;
Toholampi;Finland;
Tomsk;Russia;
Torgelow;Germany;
Torino;Italy;
Tornay;France;
Tornio;Finland;
Torrington CT;USA;
Totnes;England;
Toulouse;France;
Trefeca;England;
Treffynnon;England;
Trefriw;England;
Trenton;Canada|USA;
Trenton NJ;USA;
Trevoux;France;
Trieste;Italy;
Tromsö;Norway;
Trondheim;Norway;
Trowbridge;England;
Troy NY;USA;
Truru;England;
Tsingshi;China;
Tubingen;Germany;
Tübingen;Germany;
Tunbridge Wells;England;
Turenki;Finland;
Turku;Finland;
Turtle Lake WI;USA;
Tuusula;Finland;
Twickenham;England;
Tyrnävä;Finland;
Tyrvää;Finland;
Ugra;Russia;
Ulm;Germany;
Ulverston;England;
Uniontown PA;USA;
United States;USA;
unknown;unknown;
Uppsala;Sweden;
Upton NY;USA;
Urjala;Finland;
USA;USA;
Utica NY;USA;
Utrecht;Netherlands;
Uttoxeter;England;
Uusikaarlepyy;Finland;
Uusikaupunki;Finland;
Uusikirkko;Finland;
Vaasa;Finland;
Vainikkala;Finland;
Valamo;Finland;
Valencia;Spain;
Valkjärvi;Finland;
Valletta;Malta;
Vammala;Finland;
Vantaa;Finland;
Varsova;Poland;
Västerås;Sweden;
Vatican;Italy;
Venice;Italy;
Verdun;France;
Vergennes VT;USA;
Verona;Italy;
Versailles;France;
Vevey;Switzerland;
Vicenza;Italy;
Vienna;Austria;
Viipuri;Finland;
Viitasaari;Finland;
Viljandi;Estonia;
Vilna;Lithuania;
Vilnius;Lithuania;
Virginia MN;USA;
Virolahti;Finland;
Visingsborg;Sweden;
Vjatka;Russia;
Vreta;Sweden;
Vyborg;Russia;or Finland depending on the historical context
Wakefield;England;
Walpole MA;USA;
Walpole NH;USA;
Walsall;England;
Waltham;England;
Wandsbek;Germany;
Wantage;England;
Wargrave;England;
Warminster;England;
Warminster PA;USA;
Warren;England;
Warren RI;USA;
Warrington;England;
Warsaw;Poland;
Warsow;Poland;
Warwick;England;
Washington DC;USA;
Washington KY;USA;
Washington PA;USA;
Waterford;Ireland;
Watertown MA;USA;
Watertown MA;USA;
Watford;England;
Watton MI;USA;
Weida;Germany;
Weimar;Germany;
Wellingborough;England;
Wells;England;
Wesel;Germany;
Westminster VT;USA;
Westport CT;USA;
West Springfield MA;USA;
West Springfield;USA;
Wexford;England;
Weymouth;England;
Whitburn;Scotland;
Whitby;England;
Whitchurch;England;
Whitehall PA;USA;
Whitehaven;England;
Whitesboro NY;USA;
Wien;Austria;
Wiesbaden;Germany;
Wiesenthal;Germany;
Wigan;England;
Wigton;England;
Wilkes-Barre PA;USA;
Williamsburg VA;USA;
Williamsburg VA;USA;
Wilmington DE;USA;
Wilmington NC;USA;
Winchester;England;
Winchester;England|USA;
Winchester VA;USA;
Winchester VA;USA;
Windham CT;USA;
Windham CT;USA;
Windsor;England;
Windsor VT;USA;
Winterslow;England;
Winterthur;Switzerland;
Winton;England;
Wisbech;England;
Wiscasset ME;USA;
Wismar;Germany;
Witney;England;
Wittenberg;Germany;
Wokingham;England;
Wolston;England;
Wolverhampton;England;
Woodbridge NJ;USA;
Worcester;England;
Worcester MA;USA;
Worcester MA;USA;
Workington;England;
Worms;Germany;
Wotton-under-Edge;England;
Wrexham;England;
Wurzburg;Germany;
Würzburg;Germany;
Wycombe;England;
Yarm;England;
Yarmouth;England;
Y Bont-faen;England;
Yeovil;England;
Ylimarkku;Finland;
Ylistaro;Finland;
Ylivieska;Finland;
York;England;
York PA;USA;
York PA;USA;
Youghal;Ireland;
Ypäjä;Finland;
Yr Wyddgrug;England;
Yverdon-les-Bains;Switzerland;
Zeiz-Bahren;Germany;
Zittau;Germany;
Zürich;Germany;
Zutphen;Netherlands;
